EmployeeCode,NoOfDays,StartDate,EndDate,LeaveTypeCode,LeaveTypeName
182619,1.0,2025-01-08,2025-01-08,2.0,Casual Leave
182620,1.0,2024-12-26,2024-12-26,1.0,Annual Leave
182620,1.0,2024-12-27,2024-12-27,1.0,Annual Leave
182620,1.0,2024-12-23,2024-12-23,1.0,Annual Leave
182620,1.0,2024-12-24,2024-12-24,1.0,Annual Leave
182621,,,,,
182622,1.0,2024-12-26,2024-12-26,2.0,Casual Leave
182622,1.0,2024-12-27,2024-12-27,2.0,Casual Leave
182623,,,,,
182624,1.0,2024-12-23,2024-12-23,1.0,Annual Leave
182625,,,,,
182626,1.0,2025-01-03,2025-01-03,1.0,Annual Leave
182627,,,,,
182628,,,,,
182629,,,,,
182630,,,,,
182631,,,,,
182632,,,,,
182633,,,,,
182634,,,,,
182635,,,,,
182636,,,,,
182637,,,,,
182638,1.0,2025-01-20,2025-01-20,1.0,Annual Leave
182638,1.0,2025-01-07,2025-01-07,2.0,Casual Leave
182639,,,,,
182640,,,,,
182641,,,,,
182642,,,,,
182643,1.0,2025-01-09,2025-01-09,1.0,Annual Leave
182644,,,,,
182645,1.0,2024-12-27,2024-12-27,1.0,Annual Leave
182645,1.0,2024-12-26,2024-12-26,1.0,Annual Leave
182645,1.0,2024-12-23,2024-12-23,16.0,Unauthorized leave 
182646,1.0,2024-12-27,2024-12-27,2.0,Casual Leave
182647,,,,,
182648,,,,,
182649,1.0,2024-12-26,2024-12-26,1.0,Annual Leave
182650,,,,,
182651,,,,,
182652,1.0,2024-12-23,2024-12-23,2.0,Casual Leave
182653,,,,,
182654,,,,,
182655,,,,,
182656,1.0,2025-01-17,2025-01-17,2.0,Casual Leave
182657,1.0,2024-12-26,2024-12-26,1.0,Annual Leave
182658,,,,,
182659,,,,,
182660,,,,,
182661,1.0,2025-01-08,2025-01-08,2.0,Casual Leave
182661,1.0,2025-01-09,2025-01-09,2.0,Casual Leave
182661,1.0,2025-01-02,2025-01-02,2.0,Casual Leave
182662,,,,,
182663,,,,,
182664,,,,,
182665,1.0,2025-01-15,2025-01-15,2.0,Casual Leave
